Mass of Precursor A (g),Solution Volume (ml),Reaction Temperature (°C),Reaction Time(h),Ramp Rate (°C/min),pH Value,Photoluminescence Quantum Yield
2.1,50,200,0.6,15,7,27.8
1,10,160,1,5,8,27.8
1,50,220,5,15,7,27.6
8,50,220,8,15,7,27.6
0.5,50,260,3,15,7,27.4
1.6,50,220,2,15,7,27.4
2,15,200,1,15,7,27.3
0.5,50,160,1,15,7,27.2
1,40,180,2,10,7,27.2
2.6,50,160,1,15,7,27.1
1,50,180,0.5,15,7,27
7,40,200,1,10,8,26.8
1,50,220,3,15,7,26.6
0.6,50,200,1,15,7,26.6
2.2,50,200,0.4,15,7,26.6
2,50,160,5,15,6,26.6
1.8,50,160,2,15,7,26.4
0.1,50,195,2,15,7,26.3
4.2,50,180,1,15,7,26.3
10,30,200,1,5,7,26.3
2,50,170,2,15,7,26.2
0.2,50,160,2,15,7,26
8,30,200,1,5,7,25.9
2,50,240,5,15,7,25.7
0.1,50,190,2,15,7,25.5
1.7,50,160,2,15,7,25.5
0.1,50,200,2,15,7,25.2
4.4,50,180,1,15,7,25.2
1.6,50,160,2,15,7,24.8
2,50,140,5,15,7,24.8
2,30,180,5,5,6,24.8
0.1,50,185,2,15,7,24.6
0.8,50,220,2,15,7,24.4
0.1,50,205,2,15,7,24.3
8,50,230,8,15,7,24.3
2,50,160,2,15,7,24.2
0.1,50,210,2,15,7,23.7
1,40,180,1,5,7,23.3
2.3,50,200,0.3,15,7,23.2
1,30,160,1,5,8,22.9
1.9,50,240,2,15,7,22.8
4.6,50,180,1,15,7,22.7
6,40,200,1,10,8,22.5
6,40,200,5,10,7,22.4
1,50,240,5,15,7,22.3
0.8,50,220,8,15,7,22.2
0.1,50,180,2,15,7,22.1
1,30,200,1,5,7,22.1
2.7,50,150,0.8,15,7,21.8
1,30,200,1,15,6,21.8
1.6,50,200,0.1,15,7,21.7
0.5,50,280,1,15,7,21.5
0.9,50,230,9,15,7,21.5
1,50,230,4,15,7,21.5
2,40,140,1,10,7,21.5
1.8,50,240,2,15,7,21.3
0.1,50,220,2,15,7,21.2
9,50,230,9,15,7,21.1
1,30,200,2,2,7,20.7
0.7,50,230,2,15,7,20.5
1,25,140,1,2,8,20.4
9,30,200,1,5,7,20.4
4.8,50,180,1,15,7,20.3
1,50,200,1,5,7,20.1
0.1,50,240,2,15,7,19.9
9,40,200,1,10,6,19.9
1.5,50,240,2,15,7,19.9
0.6,50,240,2,15,7,19.1
0.1,50,160,2,15,7,19
2.8,50,140,0.6,15,7,18.9
1,45,200,1,5,7,18.9
9,50,240,9,15,7,18.9
10,40,200,5,2,9,18.6
10,50,240,10,15,7,18.5
1,50,240,1,15,7,18.5
2,60,180,3,2,8,18.5
5,50,180,1,15,7,18.5
2,30,180,5,5,5,18.4
2.4,50,200,0.2,15,7,18.3
0.1,50,150,1,15,7,18
2,30,160,0.5,10,7,18
2,50,200,6,15,7,17.9
1,55,200,1,5,7,17.9
2,60,180,3,5,8,17.8
5.2,50,160,1,15,7,17.6
7.8,50,240,4,15,7,17.5
1.5,50,250,2,15,7,17.5
2,50,185,5,15,4,17.5
1,30,200,2,2,9,17.2
5.4,50,140,1,15,7,16.8
1,50,160,4,15,7,16.7
1,50,235,10,15,7,16.6
1,60,200,1,5,7,16.6
2.5,50,200,0.1,15,7,16.4
1,30,200,1,5,9,16.2
0.1,50,260,2,15,7,16
0.05,50,200,1,15,7,15.8
1,50,240,6,15,7,15.5
1.1,50,240,11,15,7,15.3
10,50,250,10,15,7,15.3
4,45,200,5,5,6,15
1,10,160,1,5,9,14.5
2,50,200,8,15,7,14.4
0.1,50,280,2,15,7,14.4
0.02,50,195,1,15,7,14.4
11,50,250,11,15,7,14.4
1.2,50,245,12,15,7,14.4
5,40,200,1,10,9,14.4
1,50,150,1,15,7,14.2
1.3,50,250,2,15,7,14.2
1,30,200,2,2,6,13.8
0.05,50,185,1,15,7,13.6
0.02,50,210,1,15,7,13.3
9,50,120,0.5,15,7,13.3
1,50,200,8,15,7,13.1
0.01,50,190,1,15,7,12.8
0.01,50,205,1,15,7,12.7
2,50,200,2,5,10,12.5
11,50,260,11,15,7,12.4
1,50,260,6,15,7,12.2
2,55,200,1,2,6,12.2
1,30,200,1,5,6,12.2
12,50,260,12,15,7,12.1
1,25,120,1,15,9,12.1
2,50,200,1,2,9,12.1
2,30,160,0.5,5,6,12
2,30,160,0.5,2,9,12
1.3,50,250,13,15,7,11.7
1,50,250,2,15,7,11.7
5.8,50,120,1,15,7,11.6
7.6,50,260,3,15,7,11.6
2,40,120,1,10,7,11.5
0.02,50,180,1,15,7,11.4
2.9,50,130,0.4,15,7,11.2
11,30,200,1,5,7,11.2
12,50,270,12,15,7,11.1
2,50,200,2,5,6,11.1
0.05,50,220,1,15,7,10.7
13,50,270,13,15,7,10.5
1.4,50,255,14,15,7,10.5
0.5,50,250,2,15,7,10.5
12,30,200,1,5,7,10.5
2,50,200,2,5,5,10.3
1,50,280,4,15,7,9.9
1.5,50,260,15,15,7,9.8
1.6,50,265,16,15,7,9.4
10,40,200,1,10,5,9.2
14,50,280,13,15,7,9.2
1.7,50,270,17,15,7,9.1
14,30,200,1,5,7,8.9
0.01,50,160,1,15,7,8.82
1,30,220,1,2,5,8.8
0.5,50,270,5,15,7,8.8
2,30,180,5,5,4,8.8
2,30,180,5,5,3,8.8
1,50,220,10,15,7,8.6
1.8,50,275,18,15,7,8.5
14,50,280,14,15,7,8.3
0.4,50,260,2,15,7,8.3
2,55,200,1,2,5,8.1
0.01,50,240,1,15,7,7.9
7.4,50,280,2,15,7,7.8
6,50,100,1,15,7,7.7
1,50,240,12,15,7,6.6
1.9,50,280,19,15,7,6.6
1,50,260,3,15,7,6.6
1,10,160,1,5,10,6.6
0.02,50,260,1,15,7,6.3
2,45,200,5,2,5,6
1,30,200,2,2,5,5.6
1,30,180,1,5,5,5.6
0.05,50,280,1,15,7,5.5
15,50,290,15,15,7,5.2
2,50,200,2,5,4,4.8
16,50,300,16,15,7,4.7
2,50,285,20,15,7,4.7
3,50,120,0.2,15,7,4.6
2,40,100,1,10,7,4.6
2,35,160,0.5,2,5,4.4
7.2,50,300,1,15,7,4.4
11,45,200,1,10,4,4.1
17,50,300,17,15,7,3.5
1,50,270,4,15,7,3.5
1,30,240,1,5,4,3.5
2.6,50,200,0.01,15,7,3.5
2,50,200,1,2,4,3.4
0.1,50,190,5,15,7,3.3
1,50,260,14,15,7,3.2
2.1,50,290,21,15,7,3.2
12,40,200,1,5,10,3.2
0.1,50,280,5,15,7,3.2
18,50,300,18,15,7,3.1
19,50,300,19,15,7,2.7
1,30,200,2,2,10,2.6
2,40,80,1,10,7,2.5
2,50,200,1,2,3,2.3
2,50,200,2,5,11,2.3
4,35,200,1,10,10,2.2
1,30,200,1,5,10,2.2
11,50,100,0.1,15,7,2.2
2,50,200,2,5,3,2.2
2,50,200,1,2,10,2.1
1,10,160,1,5,11,2.1
2,50,130,5,15,7,2
4,50,110,0.1,15,7,1.9
2,30,160,0.5,5,10,1.7
6.2,50,80,1,15,7,1.4
2,20,180,5,5,2,1.4
20,50,300,20,15,7,1.3
1.5,45,200,5,15,4,1.2
1,50,280,5,15,7,1.1
1,25,100,1,10,10,1.1
1,30,200,2,2,4,1.1
1,45,200,5,10,3,0.9
2,35,160,0.5,15,4,0.9
1,30,180,1,5,4,0.9
21,50,300,21,15,7,0.9
1,10,160,1,5,12,0.9
5,50,100,0.05,15,7,0.8
1,30,200,2,2,3,0.8
2,35,160,0.5,10,3,0.7
1,30,180,1,5,3,0.7
0.3,50,270,2,15,7,0.5
2,40,200,1,10,11,0.4
1,50,290,6,15,7,0.3
1,30,200,2,2,11,0.3
0.2,50,280,1,15,7,0.3
1,30,200,2,2,2,0.2
1,30,200,1,5,11,0.2
6.4,50,60,1,15,7,0.2
2,40,60,1,10,7,0.2
6,50,90,0.01,15,7,0.1
0.5,45,200,5,5,2,0.1
1,30,260,1,10,3,0.1
3,35,200,1,10,11,0.1
12,45,200,1,10,3,0.1
1,30,180,1,5,2,0.1
6.6,50,40,1,15,7,0.1
13,50,80,0.05,15,7,0.1
0.01,50,250,5,15,7,0.1
2,40,40,1,10,7,0.1
2,50,200,2,5,2,0.1
2,50,200,2,5,12,0.1
7,50,80,0.01,15,7,0
1,50,300,7,15,7,0
0.2,50,200,5,2,1,0
1,35,200,1,15,12,0
2,35,160,0.5,2,1,0
2,35,160,0.5,5,2,0
2,30,160,0.5,10,11,0
2,25,160,0.5,15,12,0
2,25,160,0.5,2,12,0
1,25,80,1,5,11,0
1,35,280,1,15,2,0
1,35,300,1,15,1,0
1,35,200,1,10,13,0
2,35,200,1,10,12,0
13,45,200,1,10,2,0
14,45,200,1,10,1,0
